Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","Diode_SMD",6.640000,-8.620000,0.000000,top
"D2","D","Diode_SMD",11.520000,-27.730000,0.000000,top
"D3","D","Diode_SMD",21.040000,-46.810000,0.000000,top
"D4","D","Diode_SMD",18.550000,-65.730000,0.000000,top
"D5","D","Diode_SMD",12.760000,-8.670000,0.000000,top
"D6","D","Diode_SMD",30.500000,-27.780000,0.000000,top
"D7","D","Diode_SMD",40.020000,-46.750000,0.000000,top
"D8","D","Diode_SMD",97.240000,-46.850000,0.000000,top
"D9","D","Diode_SMD",44.830000,-8.680000,0.000000,top
"D10","D","Diode_SMD",49.610000,-27.730000,0.000000,top
"D11","D","Diode_SMD",59.180000,-46.880000,0.000000,top
"D12","D","Diode_SMD",87.750000,-27.700000,0.000000,top
"D13","D","Diode_SMD",63.930000,-8.750000,0.000000,top
"D14","D","Diode_SMD",68.730000,-27.760000,0.000000,top
"D15","D","Diode_SMD",78.150000,-46.770000,0.000000,top
"D16","D","Diode_SMD",107.620000,-8.730000,0.000000,top
"D17","D","Diode_SMD",70.310000,-8.710000,0.000000,top
"D18","D","Diode_SMD",113.930000,-27.740000,0.000000,top
"D19","D","Diode_SMD",119.850000,-44.200000,0.000000,top
"D20","D","Diode_SMD",101.340000,-8.640000,0.000000,top
"J1","~","pmw3610_connector",72.730000,-71.410000,0.000000,top
"J8","Conn_01x02","2.54mm_2pin_TH",94.456250,-26.193750,0.000000,top
"SW1","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,0.000000,0.000000,top
"SW2","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",4.762500,-19.050000,0.000000,top
"SW3","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",14.287500,-38.100000,0.000000,top
"SW4","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",11.906250,-57.150000,0.000000,top
"SW5","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,0.000000,0.000000,top
"SW6","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",23.812500,-19.050000,0.000000,top
"SW7","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",33.337500,-38.100000,0.000000,top
"SW8","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",90.487500,-38.100000,0.000000,top
"SW9","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.100000,0.000000,0.000000,top
"SW10","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",42.862500,-19.050000,0.000000,top
"SW11","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",52.387500,-38.100000,0.000000,top
"SW12","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",80.962500,-19.050000,0.000000,top
"SW13","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,0.000000,0.000000,top
"SW14","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",61.912500,-19.050000,0.000000,top
"SW15","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",71.437500,-38.100000,0.000000,top
"SW16","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",114.300000,0.000000,0.000000,top
"SW17","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,0.000000,0.000000,top
"SW18","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",107.156250,-19.050000,0.000000,top
"SW19","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",111.918750,-38.100000,0.000000,top
"SW20","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",95.250000,0.000000,0.000000,top
"SW21","SW_SPDT","TGSW_MSK-12D19",122.270000,-14.120000,-90.000000,top
